ACTSTART,DATE,TITLE,ARTIST,ACTDUR,
"12:37:01","09/20/16","Something Beautiful","NEEDTOBREATHE                                               ","00:03:37",""
"12:40:35","09/20/16","Committed","Newsboys                                                    ","00:03:39",""
"12:44:11","09/20/16","xfm short female","                                                            ","00:00:05",""
"12:44:16","09/20/16","Good Morning (Featuring TobyMac)","MANDISA                                                     ","00:03:24",""
"12:47:37","09/20/16","That Was Then, This Is Now","Josh Wilson                                                 ","00:03:17",""
"12:50:51","09/20/16","xfm short female","                                                            ","00:00:04",""
"12:50:55","09/20/16","No Longer Slaves","Newsboys                                                    ","00:04:06",""
"12:54:58","09/20/16","My Heart Is Yours (Radio Version)","PASSION FEAT. KRISTIAN STANFILL                             ","00:04:03",""
"12:58:58","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"12:59:10","09/20/16","He Is With Us (feat. Chris Rademaker)","Love & The Outcome                                          ","00:03:47",""
"13:02:54","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"13:03:06","09/20/16","He Is With Us (feat. Chris Rademaker)","Love & The Outcome                                          ","00:03:46",""
"13:06:49","09/20/16","Good Morning [Capital Kings Remix]","Mandisa                                                     ","00:04:14",""
"13:11:00","09/20/16","xfm short female","                                                            ","00:00:04",""
"13:11:04","09/20/16","Learning to Be the Light","NEWWORLDSON                                                 ","00:03:51",""
"13:14:52","09/20/16","The Secret Place (feat. Madison Cunningham)","Phil Wickham                                                ","00:04:43",""
"13:19:32","09/20/16","xfm short female","                                                            ","00:00:05",""
"13:19:37","09/20/16","First","Lauren Daigle                                               ","00:03:48",""
"13:23:22","09/20/16","Waiting for Tomorrow","Mandisa                                                     ","00:03:14",""
"13:26:32","09/20/16","xfm short female","                                                            ","00:00:05",""
"13:26:37","09/20/16","To Bring You Back","PAUL ALAN                                                   ","00:03:24",""
"13:29:58","09/20/16","Guilty","NEWSBOYS                                                    ","00:03:34",""
"13:33:29","09/20/16","xfm short female","                                                            ","00:00:04",""
"13:33:33","09/20/16","Only Got Eyes","Martin Smith                                                ","00:03:37",""
"13:37:07","09/20/16","Matt Maher - All The People Said Amen","MATT MAHER                                                  ","00:03:00",""
"13:40:04","09/20/16","xfm short female","                                                            ","00:00:05",""
"13:40:09","09/20/16","Reach","PETER FURLER                                                ","00:03:45",""
"13:43:51","09/20/16","My Redeemer Lives","PHILLIPS, CRAIG & DEAN                                      ","00:03:51",""
"13:47:39","09/20/16","xfm short female","                                                            ","00:00:04",""
"13:47:43","09/20/16","There is Power","Lincoln Brewster                                            ","00:03:45",""
"13:51:25","09/20/16","Christ Is Risen","MATT MAHER                                                  ","00:03:41",""
"13:55:02","09/20/16","xfm short female","                                                            ","00:00:05",""
"13:55:07","09/20/16","Lord I'm Ready Now","PLUMB                                                       ","00:03:25",""
"13:58:29","09/20/16","All Along","REMEDY DRIVE                                                ","00:03:06",""
"14:01:32","09/20/16","su jumis - valandinis","                                                            ","00:00:13",""
"14:01:45","09/20/16","Forever (Radio Version)","KARI JOBE                                                   ","00:03:54",""
"14:05:36","09/20/16","Because He Lives (Amen)","Matt Maher                                                  ","00:03:19",""
"14:08:52","09/20/16","xfm short female","                                                            ","00:00:04",""
"14:08:56","09/20/16","When Mercy Found Me","RHETT WALKER BAND                                           ","00:03:52",""
"14:12:45","09/20/16","I Wish","POINT OF GRACE                                              ","00:03:30",""
"14:16:12","09/20/16","xfm short female","                                                            ","00:00:04",""
"14:16:16","09/20/16","Matt Maher - Lord, I Need You","MATT MAHER                                                  ","00:03:25",""
"14:19:38","09/20/16","Day One","Matthew West                                                ","00:03:30",""
"14:23:05","09/20/16","xfm short female","                                                            ","00:00:04",""
"14:23:10","09/20/16","Heartache","Relient K                                                   ","00:05:13",""
"14:28:20","09/20/16","Hold Me Together","ROYAL TAILOR                                                ","00:03:17",""
"14:31:34","09/20/16","xfm short female","                                                            ","00:00:04",""
"14:31:38","09/20/16","Grace Wins","MATTHEW WEST                                                ","00:04:23",""
"14:35:58","09/20/16","Flawless","MERCYME                                                     ","00:04:12",""
"14:40:07","09/20/16","xfm short female","                                                            ","00:00:05",""
"14:40:12","09/20/16","Open the Eyes of My Heart","PAUL BALOCHE                                                ","00:05:40",""
"14:45:49","09/20/16","Lead Me","Sanctus Real                                                ","00:03:46",""
"14:49:32","09/20/16","xfm short female","                                                            ","00:00:04",""
"14:49:36","09/20/16","Jo Yra Jura","Gabriele Gvazdikaite                                        ","00:03:50",""
"14:53:23","09/20/16","Unitytm - Kur Tu Esi","Unitytm                                                     ","00:03:03",""
"14:56:23","09/20/16","xfm short female","                                                            ","00:00:05",""
"14:56:28","09/20/16","Whatever You're Doing (Something Heavenly)","Sanctus Real                                                ","00:04:13",""
"15:00:39","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"15:00:51","09/20/16","What I Want Them To Say","Newsboys                                                    ","00:03:41",""
"15:04:29","09/20/16","You Are With Us","Samuel Lane                                                 ","00:04:44",""
"15:09:10","09/20/16","xfm short female","                                                            ","00:00:04",""
"15:09:14","09/20/16","What Would It Be Like","SALVADOR                                                    ","00:03:21",""
"15:12:32","09/20/16","Saved by Grace","SHANE & SHANE                                               ","00:03:50",""
"15:16:18","09/20/16","xfm short female","                                                            ","00:00:05",""
"15:16:23","09/20/16","Oxygen","Lincoln Brewster                                            ","00:03:30",""
"15:19:50","09/20/16","Nothin' but Good","Westward Road                                               ","00:02:52",""
"15:22:39","09/20/16","xfm short female","                                                            ","00:00:04",""
"15:22:43","09/20/16","Clarity","SHAWN MCDONALD                                              ","00:03:25",""
"15:26:05","09/20/16","Save My Life","SIDEWALK PROPHETS                                           ","00:03:43",""
"15:29:44","09/20/16","xfm short female","                                                            ","00:00:05",""
"15:29:49","09/20/16","Revival","7eventh Time Down                                           ","00:02:53",""
"15:32:39","09/20/16","All for You","Mikeschair                                                  ","00:02:11",""
"15:34:47","09/20/16","xfm short female","                                                            ","00:00:04",""
"15:34:51","09/20/16","Let It Be Love","SEVENGLORY                                                  ","00:02:48",""
"15:37:36","09/20/16","You Love Me Anyway","SIDEWALK PROPHETS                                           ","00:03:55",""
"15:41:28","09/20/16","xfm short female","                                                            ","00:00:04",""
"15:41:32","09/20/16","God Is on the Move","7eventh Time Down                                           ","",""
"15:44:26","09/20/16","Relentless (Acoustic Version) [Live]","","00:04:16",""
"15:48:39","09/20/16","xfm short female","                                                            ","00:00:04",""
"15:48:43","09/20/16","Live Like That","SIDEWALK PROPHETS                                           ","00:03:52",""
"15:52:32","09/20/16","I Want to Know You (In the Secret)","SONICFLOOD                                                  ","00:02:50",""
"15:58:30","09/20/16","All for You","Mikeschair                                                  ","00:02:10",""
"16:00:41","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"16:00:52","09/20/16","09-20","                                                            ","00:02:40",""
"16:03:32","09/20/16","You Are My King","","00:04:08",""
"16:06:36","09/20/16","Acid_vid_tempas_nuotaika","                                                            ","00:16:34",""
"16:07:37","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:13",""
"16:08:34","09/20/16","I belong to God PERLAS","                                                            ","00:04:23",""
"16:12:57","09/20/16","Good Fight","UNSPOKEN                                                    ","00:02:47",""
"16:15:44","09/20/16","REKLAMA CUT","","00:00:05",""
"16:15:49","09/20/16","Lengva Keliauti","                                                            ","00:00:10",""
"16:15:59","09/20/16","MR 03","                                                            ","00:00:18",""
"16:16:17","09/20/16","KR Limpa Nelimpa","                                                            ","00:00:15",""
"16:16:33","09/20/16","Griauname.LT","                                                            ","00:00:09",""
"16:16:42","09/20/16","linija","                                                            ","00:00:04",""
"16:16:47","09/20/16","xfm short female","                                                            ","00:00:04",""
"16:16:51","09/20/16","Never Miss a Beat","Natalie Grant                                               ","00:03:10",""
"16:20:01","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:13",""
"16:20:45","09/20/16","Saved by Grace","SHANE & SHANE                                               ","00:03:50",""
"16:24:35","09/20/16","King of My Heart","Love & The Outcome                                          ","00:03:25",""
"16:27:57","09/20/16","Closer to Love (Radio Mix)","MAT KEARNEY                                                 ","00:03:36",""
"16:29:31","09/20/16","kulturos paletes fonas","                                                            ","00:11:00",""
"16:31:33","09/20/16","BE_2016-09-20","                                                            ","00:00:18",""
"16:31:51","09/20/16","paletes dzinglas","                                                            ","00:00:04",""
"16:33:52","09/20/16","My Lighthouse","Rend Collective                                             ","00:03:45",""
"16:37:37","09/20/16","I'll Love You So","ABOVE THE GOLDEN STATE                                      ","00:03:06",""
"16:40:32","09/20/16","Acid_vid_tempas_nuotaika","                                                            ","01:17:05",""
"16:40:43","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:12",""
"16:42:27","09/20/16","A New Hallelujah (Radio Version)","MICHAEL W. SMITH                                            ","00:04:29",""
"16:46:56","09/20/16","REKLAMA CUT","","00:00:05",""
"16:47:01","09/20/16","Reklamos forma","                                                            ","00:00:38",""
"16:47:39","09/20/16","Raimis Kukuruzu Labirintas","                                                            ","00:00:17",""
"16:47:56","09/20/16","Izraelis2","                                                            ","00:00:51",""
"16:48:47","09/20/16","Nickas","                                                            ","00:00:33",""
"16:49:20","09/20/16","xfm short female","                                                            ","00:00:04",""
"16:49:24","09/20/16","Unitytm - Kur Tu Esi","Unitytm                                                     ","00:03:04",""
"16:52:28","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:12",""
"16:54:12","09/20/16","No Longer Slaves","Newsboys                                                    ","00:04:05",""
"16:58:17","09/20/16","You Never Let Go","","00:01:53",""
"17:00:12","09/20/16","su jumis - valandinis","                                                            ","00:00:13",""
"17:00:23","09/20/16","09-20","                                                            ","00:02:40",""
"17:03:04","09/20/16","You Are With Us","Samuel Lane                                                 ","00:04:43",""
"17:07:45","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:12",""
"17:09:43","09/20/16","Lord I'm Ready Now","PLUMB                                                       ","00:03:25",""
"17:13:08","09/20/16","Lord You Have My Heart","DELIRIOUS?                                                  ","00:02:49",""
"17:15:57","09/20/16","REKLAMA CUT","","00:00:06",""
"17:16:03","09/20/16","Kauno R Danielius","                                                            ","00:00:21",""
"17:16:24","09/20/16","Vakaro Zvaigzdeles Prenumerata","                                                            ","00:00:16",""
"17:16:40","09/20/16","Pastoge","                                                            ","00:00:49",""
"17:17:29","09/20/16","SIELOS","","00:00:16",""
"17:17:45","09/20/16","xfm short female","                                                            ","00:00:04",""
"17:17:49","09/20/16","Jo Yra Jura","Gabriele Gvazdikaite                                        ","00:03:50",""
"17:21:39","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:12",""
"17:24:29","09/20/16","Move (Keep Walkin')","TobyMac                                                     ","00:03:42",""
"17:28:11","09/20/16","Jesus Loves Me","Chris Tomlin                                                ","00:03:32",""
"17:31:43","09/20/16","MSA_2016-09-20","                                                            ","00:01:49",""
"17:33:32","09/20/16","xfm short female","                                                            ","00:00:05",""
"17:33:37","09/20/16","Laukiu Tavęs","ARNOLDAS JALIANIAUSKAS                                      ","00:04:35",""
"17:38:12","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:13",""
"17:40:48","09/20/16","Remind Me Who I Am","JASON GRAY                                                  ","00:03:43",""
"17:44:31","09/20/16","REKLAMA CUT","","00:00:05",""
"17:44:36","09/20/16","Laineva.LT","                                                            ","00:00:11",""
"17:44:47","09/20/16","Saugos Garantas Short","                                                            ","00:00:20",""
"17:45:07","09/20/16","Izraelis2","                                                            ","00:00:50",""
"17:45:58","09/20/16","Nickas","                                                            ","00:00:32",""
"17:46:30","09/20/16","xfm short female","                                                            ","00:00:05",""
"17:46:35","09/20/16","I belong to God PERLAS","                                                            ","00:04:23",""
"17:50:58","09/20/16","Pavakario eteris moteris 2","                                                            ","00:00:13",""
"17:53:22","09/20/16","Something Beautiful","STEVEN CURTIS CHAPMAN                                       ","00:03:02",""
"17:56:24","09/20/16","Glorious Day (Living He Loved Me)","CASTING CROWNS                                              ","00:04:41",""
