ACTSTART,DATE,TITLE,ARTIST,ACTDUR,
"06:00:42","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"06:00:55","09/20/16","Enough","Sky Dixon                                                   ","00:03:03",""
"06:03:55","09/20/16","God Is on the Move","7eventh Time Down                                           ","00:02:57",""
"06:06:49","09/20/16","xfm short female","                                                            ","00:00:04",""
"06:06:53","09/20/16","Where I Belong","BUILDING 429                                                ","00:03:18",""
"06:10:08","09/20/16","Enough","CHRIS TOMLIN                                                ","00:04:19",""
"06:14:24","09/20/16","xfm short female","                                                            ","00:00:04",""
"06:14:28","09/20/16","Hopes and Dreams","7eventh Time Down                                           ","00:03:02",""
"06:17:27","09/20/16","Nothin' but Good","Westward Road                                               ","00:02:52",""
"06:20:16","09/20/16","xfm short female","                                                            ","00:00:04",""
"06:20:20","09/20/16","You Are My King","CHRISTY NOCKELS                                             ","00:05:19",""
"06:25:36","09/20/16","Lord You Have My Heart","DELIRIOUS?                                                  ","00:02:49",""
"06:28:22","09/20/16","xfm short female","                                                            ","00:00:05",""
"06:28:27","09/20/16","Revival","7eventh Time Down                                           ","00:02:53",""
"06:31:17","09/20/16","Your Love","Brandon Heath                                               ","00:03:35",""
"06:34:49","09/20/16","xfm short female","                                                            ","00:00:05",""
"06:34:54","09/20/16","Give Me Faith","ELEVATION WORSHIP                                           ","00:04:09",""
"06:39:00","09/20/16","O Come to the Altar","Elevation Worship                                           ","00:05:54",""
"06:44:51","09/20/16","xfm short female","                                                            ","00:00:04",""
"06:44:55","09/20/16","Who I Am","BLANCA                                                      ","00:03:09",""
"06:48:01","09/20/16","We Will Sing","Calvary Worship                                             ","00:04:09",""
"06:52:07","09/20/16","xfm short female","                                                            ","00:00:04",""
"06:52:11","09/20/16","Light of Your Love","Erik  Nieder                                                ","00:03:39",""
"06:55:47","09/20/16","Glory to God Forever","FEE                                                         ","00:03:55",""
"06:59:39","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"06:59:52","09/20/16","Believer","Capital Kings                                               ","00:03:30",""
"07:03:19","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"07:03:31","09/20/16","Believer","Capital Kings                                               ","00:01:53",""
"07:06:37","09/20/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:06:41","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:00:18",""
"07:06:59","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:00:16",""
"07:07:12","09/20/16","Believer","Capital Kings                                               ","00:03:31",""
"07:10:39","09/20/16","Move","MERCYME                                                     ","00:02:56",""
"07:13:32","09/20/16","REKLAMA CUT","","00:00:06",""
"07:13:38","09/20/16","Lengva Keliauti","                                                            ","00:00:10",""
"07:13:48","09/20/16","KR Limpa Nelimpa","                                                            ","00:00:16",""
"07:14:04","09/20/16","Vaiku linijos radijo klipas savanoriu kvietimui 2016 08","                                                            ","00:00:30",""
"07:14:34","09/20/16","xfm short female","                                                            ","00:00:04",""
"07:14:38","09/20/16","Your Love Awakens Me","Phil Wickham                                                ","00:03:54",""
"07:18:32","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"07:18:36","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:02:08",""
"07:20:40","09/20/16","Air for Free","Relient K                                                   ","00:03:02",""
"07:23:39","09/20/16","Fireblazin (feat. Chris Tomlin)","Capital Kings                                               ","00:04:15",""
"07:27:51","09/20/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:27:54","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:00:27",""
"07:28:17","09/20/16","Tik su tavim","Unitytm                                                     ","00:02:59",""
"07:31:13","09/20/16","MSA_2016-09-20","                                                            ","00:01:50",""
"07:33:00","09/20/16","xfm short female","                                                            ","00:00:04",""
"07:33:03","09/20/16","Trumpos naujienos","                                                            ","00:01:33",""
"07:34:33","09/20/16","I belong to God PERLAS","                                                            ","00:04:23",""
"07:38:56","09/20/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:39:00","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:03:10",""
"07:42:07","09/20/16","Flawless","MERCYME                                                     ","00:04:13",""
"07:46:16","09/20/16","REKLAMA CUT","","00:00:06",""
"07:46:22","09/20/16","Laineva.LT","                                                            ","00:00:11",""
"07:46:33","09/20/16","Izraelis","                                                            ","00:01:02",""
"07:47:35","09/20/16","xfm short female","                                                            ","00:00:04",""
"07:47:39","09/20/16","Matt Maher - All The People Said Amen","MATT MAHER                                                  ","00:03:01",""
"07:50:37","09/20/16","Good Morning (Featuring TobyMac)","MANDISA                                                     ","00:03:24",""
"07:53:58","09/20/16","Nauja diena trumpas","                                                            ","00:00:07",""
"07:54:02","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:03:01",""
"07:57:00","09/20/16","I Refuse","Josh Wilson                                                 ","00:03:38",""
"08:00:35","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"08:00:45","09/20/16","Zinios 3 Pozityvios ir Ilgos","                                                            ","00:13:50",""
"08:03:48","09/20/16","pazink save 1","                                                            ","00:00:16",""
"08:04:12","09/20/16","pazink save 2","                                                            ","00:00:16",""
"08:05:05","09/20/16","Never Again","THE TURNING                                                 ","00:03:38",""
"08:08:40","09/20/16","Satellites","Capital Kings                                               ","00:03:50",""
"08:12:27","09/20/16","Tonight","Group 1 Crew                                                ","00:03:52",""
"08:16:16","09/20/16","REKLAMA CUT","","00:00:05",""
"08:16:21","09/20/16","Griauname.LT","                                                            ","00:00:09",""
"08:16:31","09/20/16","MR 03","                                                            ","00:00:17",""
"08:16:48","09/20/16","xfm short female","                                                            ","00:00:04",""
"08:16:52","09/20/16","Won't Let You Win","Sky Dixon                                                   ","00:03:32",""
"08:20:21","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"08:20:25","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:03:20",""
"08:23:41","09/20/16","Love is a Beautiful Thing","Group 1 Crew                                                ","00:03:56",""
"08:27:34","09/20/16","Relentless (Acoustic Version) [Live]","Hillsong UNITED                                             ","00:04:16",""
"08:31:47","09/20/16","BE_2016-09-20","                                                            ","00:00:18",""
"08:32:05","09/20/16","paletes dzinglas","                                                            ","00:00:05",""
"08:32:09","09/20/16","kulturos paletes fonas","                                                            ","00:02:18",""
"08:34:20","09/20/16","xfm short female","                                                            ","00:00:04",""
"08:34:24","09/20/16","Shoulders","for KING & COUNTRY                                          ","00:04:07",""
"08:38:28","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"08:38:33","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:02:49",""
"08:41:19","09/20/16","No Time to Waste","Hezekiah Walker                                             ","00:03:32",""
"08:44:48","09/20/16","REKLAMA CUT","","00:00:05",""
"08:44:53","09/20/16","Nickas","                                                            ","00:00:33",""
"08:45:26","09/20/16","Reklamos forma","                                                            ","00:00:38",""
"08:46:04","09/20/16","Izraelis","                                                            ","00:01:02",""
"08:47:06","09/20/16","xfm short female","                                                            ","00:00:05",""
"08:47:11","09/20/16","Forever","Capital Kings                                               ","00:03:07",""
"08:50:14","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"08:50:18","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:04:18",""
"08:54:33","09/20/16","Lay Me Down","Chris Tomlin                                                ","00:04:43",""
"08:59:13","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"08:59:23","09/20/16","Zinios 3 Pozityvios ir Ilgos","                                                            ","00:04:51",""
"09:02:33","09/20/16","info","                                                            ","00:00:45",""
"09:04:09","09/20/16","Our God (Radio Version)","CHRIS TOMLIN                                                ","00:04:33",""
"09:08:39","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"09:08:44","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:01:35",""
"09:10:16","09/20/16","Bulletproof","Citizen Way                                                 ","00:04:03",""
"09:14:16","09/20/16","REKLAMA CUT","","00:00:06",""
"09:14:22","09/20/16","Kauno R Danielius","                                                            ","00:00:21",""
"09:14:43","09/20/16","Vakaro Zvaigzdeles Prenumerata","                                                            ","00:00:16",""
"09:14:59","09/20/16","xfm short female","                                                            ","00:00:04",""
"09:15:03","09/20/16","What Would It Be Like","SALVADOR                                                    ","00:03:21",""
"09:18:21","09/20/16","Solution","HILLSONG UNITED                                             ","00:04:35",""
"09:22:53","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"09:22:57","09/20/16","Reklama Rami","                                                            ","00:03:07",""
"09:26:00","09/20/16","Symphonies","Natalie Grant                                               ","00:03:41",""
"09:29:38","09/20/16","Glorious One","FEE                                                         ","00:03:57",""
"09:33:32","09/20/16","MSA_2016-09-20","                                                            ","00:01:49",""
"09:35:21","09/20/16","xfm short female","                                                            ","00:00:05",""
"09:35:26","09/20/16","Hold Me","JAMIE GRACE FEAT. TOBYMAC                                   ","00:03:30",""
"09:38:53","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:06",""
"09:38:56","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:01:59",""
"09:40:52","09/20/16","When I'm With You","Citizen Way                                                 ","00:03:33",""
"09:44:22","09/20/16","REKLAMA CUT","","00:00:05",""
"09:44:27","09/20/16","Saugos Garantas Short","                                                            ","00:00:21",""
"09:44:48","09/20/16","Izraelis","                                                            ","00:01:02",""
"09:45:50","09/20/16","Nickas","                                                            ","00:00:33",""
"09:46:23","09/20/16","xfm short female","                                                            ","00:00:04",""
"09:46:27","09/20/16","I belong to God PERLAS","                                                            ","00:04:24",""
"09:50:48","09/20/16","Nauja diena trumpas vyras","                                                            ","00:00:07",""
"09:50:52","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:03:03",""
"09:53:51","09/20/16","More Like Falling in Love","JASON GRAY                                                  ","00:03:38",""
"09:57:26","09/20/16","Nauja diena trumpas","                                                            ","00:00:07",""
"09:57:30","09/20/16","futbolas kitaip fonas","The High Divers                                             ","00:01:07",""
"09:58:34","09/20/16","Good Fight","UNSPOKEN                                                    ","00:02:46",""
"10:01:19","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"10:01:29","09/20/16","Zinios 3 Pozityvios ir Ilgos","                                                            ","00:03:29",""
"10:03:44","09/20/16","pazink save 1","                                                            ","00:00:16",""
"10:04:06","09/20/16","pazink save 2","                                                            ","00:00:16",""
"10:04:54","09/20/16","Breathe","Jonny Diaz                                                  ","00:03:30",""
"10:05:35","09/20/16","God Is on the Move","7eventh Time Down                                           ","05:38:54",""
"11:00:00","09/20/16","su jumis - valandinis","                                                            ","00:00:12",""
"11:00:12","09/20/16","You Lead","JAMIE GRACE                                                 ","00:03:38",""
"11:03:47","09/20/16","Hillsong United - Touch the Sky","Hillsong United                                             ","00:04:22",""
"11:08:06","09/20/16","xfm short female","                                                            ","00:00:05",""
"11:08:11","09/20/16","A New Hallelujah (Radio Version)","MICHAEL W. SMITH                                            ","00:04:28",""
"11:12:36","09/20/16","Someone Worth Dying For","MIKESCHAIR                                                  ","00:04:10",""
"11:16:43","09/20/16","xfm short female","                                                            ","00:00:04",""
"11:16:47","09/20/16","I Love Your Presence","Jake Hamilton                                               ","00:04:30",""
"11:21:14","09/20/16","Christ In Me","Jeremy Camp                                                 ","00:03:32",""
"11:24:42","09/20/16","xfm short female","                                                            ","00:00:05",""
"11:24:47","09/20/16","I Am Not Alone (Radio Version)","Kari Jobe                                                   ","00:03:57",""
"11:28:41","09/20/16","You Never Let Go","MATT REDMAN                                                 ","00:04:44",""
"11:33:22","09/20/16","xfm short female","                                                            ","00:00:05",""
"11:33:27","09/20/16","Breathe","Jonny Diaz                                                  ","00:03:29",""
"11:36:53","09/20/16","Never Gonna Stop Singing (Live)","Jesus Culture                                               ","00:04:25",""
"11:41:15","09/20/16","xfm short female","                                                            ","00:00:04",""
"11:41:19","09/20/16","You Are The Fire","Michael W. Smith                                            ","00:04:30",""
"11:45:46","09/20/16","Let the Waters Rise","MIKESCHAIR                                                  ","00:03:47",""
"11:49:30","09/20/16","xfm short female","                                                            ","00:00:04",""
"11:49:34","09/20/16","The River","Jordan Feliz                                                ","00:03:16",""
"11:52:47","09/20/16","I Refuse","Josh Wilson                                                 ","00:03:39",""
"11:56:23","09/20/16","xfm short female","                                                            ","00:00:04",""
"11:56:27","09/20/16","Your Great Name","NATALIE GRANT                                               ","00:04:15",""
"12:00:39","09/20/16","su jumis - valandinis","                                                            ","00:00:13",""
"12:00:52","09/20/16","O'Lord","Lauren Daigle                                               ","00:03:25",""
"12:04:14","09/20/16","Invisible","Leeland                                                     ","00:04:39",""
"12:08:50","09/20/16","xfm short female","                                                            ","00:00:05",""
"12:08:55","09/20/16","Symphonies","Natalie Grant                                               ","00:03:40",""
"12:12:32","09/20/16","Born Again","Newsboys                                                    ","00:03:11",""
"12:15:40","09/20/16","xfm short female","                                                            ","00:00:04",""
"12:15:44","09/20/16","Live to Praise You","Lincoln Brewster                                            ","00:03:20",""
"12:19:01","09/20/16","Drops In the Ocean","Hawk Nelson                                                 ","00:03:21",""
"12:22:19","09/20/16","xfm short female","                                                            ","00:00:04",""
"12:22:23","09/20/16","Love the Lord","LINCOLN BREWSTER                                            ","00:03:39",""
"12:25:59","09/20/16","Everyday","LINCOLN BREWSTER                                            ","00:04:12",""
"12:30:08","09/20/16","xfm short female","                                                            ","00:00:04",""
"12:30:12","09/20/16","Made New","Lincoln Brewster                                            ","00:03:21",""
"12:33:30","09/20/16","Oxygen","Lincoln Brewster                                            ","00:03:30",""
"12:36:57","09/20/16","xfm short female","                                                            ","00:00:04",""
